Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","346.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","7021","Annual value","USD","407.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","978.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","1085.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","1207.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","1255.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","1156.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","1270","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","1424.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","1335.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","1371.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","1439.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","1431.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","1637.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","1623.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","1310.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","1736.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","2126.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","1844","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1992","1992","7021","Annual value","USD","201.9","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1993","1993","7021","Annual value","USD","160.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1994","1994","7021","Annual value","USD","140.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","7021","Annual value","USD","140","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1996","1996","7021","Annual value","USD","140","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","7021","Annual value","USD","160.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","7021","Annual value","USD","140.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","7021","Annual value","USD","150.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","140.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","100.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","277.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","368.9","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","451.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","468.7","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","519.6","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","130.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","98.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","138.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","152.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","193.4","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","192","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","175.5","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","7021","Annual value","USD","179.2","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","7021","Annual value","USD","198.2","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","7021","Annual value","USD","214.1","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","150.4","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","163.3","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","204.1","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","257.5","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","280.3","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","301.6","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","446.2","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","542.5","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","515.1","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","389.5","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","776.3","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","692.1","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","544.7","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","495.3","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","570.9","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","400.6","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","437.2","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","428.9","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","398.8","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","416.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1991","1991","7021","Annual value","USD","492.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1992","1992","7021","Annual value","USD","625.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1993","1993","7021","Annual value","USD","546.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1994","1994","7021","Annual value","USD","565.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","7021","Annual value","USD","631.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1996","1996","7021","Annual value","USD","853","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","7021","Annual value","USD","794.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","7021","Annual value","USD","552.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","7021","Annual value","USD","619.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","496.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","450","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","592.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","758.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","1059","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","1237.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","978.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","1497.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","1543.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","1435","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","1394.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","2052.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","1667","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","1475.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","1465.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","1414.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","1303.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","1250","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","1366.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","1344.5","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1991","1991","7021","Annual value","USD","823.9","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1992","1992","7021","Annual value","USD","765.3","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1993","1993","7021","Annual value","USD","564","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1994","1994","7021","Annual value","USD","478","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","7021","Annual value","USD","486","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1996","1996","7021","Annual value","USD","432.6","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","7021","Annual value","USD","340.1","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","7021","Annual value","USD","275.5","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","7021","Annual value","USD","302","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","236.4","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","291.3","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","322.8","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","478.6","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","435.8","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","371.8","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","388.9","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","543.4","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","732.4","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","500.1","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","445","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","635.3","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","560.2","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","710.3","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","528.1","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","432.5","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","386.1","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","637.1","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","707.4","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","539.8","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","229.8","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","254.1","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","268.8","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","227.9","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","354.3","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","498.1","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","582.7","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","681.6","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","659.4","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","759.9","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","633.2","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","636.5","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","866.8","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","714","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","390.4","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","263.2","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","244","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","217.6","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","235.3","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","1996","1996","7021","Annual value","USD","130.2","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","7021","Annual value","USD","130.4","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","7021","Annual value","USD","326.3","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","7021","Annual value","USD","264.8","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","73.2","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","85.7","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","74.1","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","144.9","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","147.4","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","222.8","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","187.9","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","361.1","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","389.3","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","287.7","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","472","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","824.5","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","459.3","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","416.9","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","380.5","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","293.3","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","270.8","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","341.1","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","256.8","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","343.8","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","225.9","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","313.2","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","272.9","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","506.8","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","497.9","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","434","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","567.6","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","586.6","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","801.7","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","492.8","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","501.2","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","722","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","654.2","","Official data"
"PP","Producer Prices","255","Belgium","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","815.5","","Official data"
